x,y,z,qx,qy,qz,qw
-0.0060173525,-0.0025664568,-0.007499039,-0.004217094,-0.0032483153,0.0031810352,0.99998075
-0.0060416562,-0.0025861263,-0.007539004,-0.0043288423,-0.0032378514,0.0031271263,0.9999805
-0.006069893,-0.0025906563,-0.0075877905,-0.004669396,-0.003145336,0.0032027196,0.999979
-0.006097975,-0.0026040077,-0.007638812,-0.0049136695,-0.0031906008,0.0031237362,0.99997795
-0.0061257966,-0.0026124716,-0.0076931417,-0.0050567775,-0.0032064226,0.0030158737,0.9999775
-0.0061504813,-0.0026358366,-0.007734537,-0.0050684395,-0.0030772223,0.0030225548,0.9999778
-0.006176782,-0.0026652813,-0.0077780783,-0.004952135,-0.0030968161,0.002973805,0.9999785
-0.0061965594,-0.0026928186,-0.007820368,-0.0047725798,-0.0031166098,0.0028045315,0.9999798
-0.00622316,-0.0026996136,-0.007855296,-0.0050424654,-0.0030173312,0.0028493954,0.99997866
-0.0062462743,-0.002713561,-0.007902682,-0.005164854,-0.0031168691,0.003168162,0.99997675
-0.0062625147,-0.0027440786,-0.007939279,-0.0052268854,-0.0029093137,0.0030826814,0.99997735
-0.00628521,-0.0027672052,-0.007985443,-0.0051492113,-0.0029730955,0.0032266555,0.9999771
-0.0063054794,-0.002775669,-0.008021861,-0.0054561137,-0.0028212636,0.0032847435,0.99997574
-0.0063262265,-0.0028014183,-0.008060634,-0.0054993466,-0.0027652998,0.0031608054,0.99997604
-0.0063477894,-0.0028163195,-0.008110136,-0.0058943336,-0.0027745804,0.00353921,0.9999725
-0.0063802013,-0.0028249025,-0.008160502,-0.006008096,-0.0028096158,0.0036093337,0.9999715
-0.0064100716,-0.0028420687,-0.008207947,-0.0061965496,-0.0028436333,0.0038484507,0.9999693
-0.006428289,-0.002862215,-0.008259535,-0.0063127796,-0.002800248,0.0036680428,0.9999694
-0.006446019,-0.0028629303,-0.0083144605,-0.0066308663,-0.0027054944,0.0038872915,0.9999668
-0.00647508,-0.0028693676,-0.008375913,-0.006518394,-0.0027679882,0.0037551566,0.9999679
-0.00649981,-0.002878189,-0.008426309,-0.0064869877,-0.0027569518,0.0034560072,0.9999692
-0.0065164017,-0.0028858185,-0.00848791,-0.0065745506,-0.002761434,0.0035538436,0.99996823
-0.0065486664,-0.0029045343,-0.008541584,-0.0066152615,-0.0027979715,0.0034581595,0.99996823
-0.0065672854,-0.002914071,-0.008588165,-0.0067366287,-0.0026394788,0.003420045,0.99996793
-0.0065931696,-0.0029088259,-0.008645773,-0.006766845,-0.0027272184,0.0037183056,0.99996644
-0.0066162655,-0.0029313564,-0.008707911,-0.006898051,-0.0027071142,0.004005367,0.9999645
-0.0066357823,-0.0029444695,-0.008767545,-0.0071227173,-0.0026734388,0.00406315,0.99996275
-0.006657306,-0.0029395819,-0.008823842,-0.007301289,-0.002706083,0.004149672,0.9999611
-0.006682395,-0.0029355288,-0.008895099,-0.0074033407,-0.002635727,0.0042654932,0.99996
-0.0067095803,-0.0029450655,-0.008965254,-0.007218499,-0.002674445,0.004108216,0.9999619
-0.0067255776,-0.0029467344,-0.009036779,-0.0070377756,-0.0027023754,0.0042748484,0.99996245
-0.0067484695,-0.002931714,-0.0091046095,-0.0070539727,-0.0026419486,0.004558773,0.9999612
-0.0067673875,-0.0029207468,-0.009181768,-0.007153833,-0.002589313,0.004799543,0.9999595
-0.0067859543,-0.0029141903,-0.009252548,-0.0073007746,-0.002603035,0.005069367,0.9999571
-0.006801879,-0.0029006004,-0.009336323,-0.0073032156,-0.0026108285,0.0053243935,0.9999558
-0.0068186745,-0.0028848648,-0.009413034,-0.007445606,-0.0025967555,0.005625321,0.9999531
-0.0068271607,-0.0028635263,-0.009490818,-0.007514892,-0.0024959645,0.0057311333,0.9999522
-0.0068381857,-0.002848506,-0.00956738,-0.0073716845,-0.0024991839,0.005751817,0.99995315
