#x,y,z,qx,qy,qz,qw
-0.004005123,-0.0017707348,0.011295795,-0.0023481084,0.0025916493,0.0021003245,0.99999166
-0.0040415525,-0.0017799139,0.011270821,-0.0021281254,0.002577457,0.0018413997,0.9999927
-0.0040738806,-0.0017842054,0.011251062,-0.0021248031,0.002704162,0.0019350387,0.9999922
-0.0041034333,-0.0017853975,0.01123026,-0.0020310867,0.0027273893,0.00186825,0.9999925
-0.004131399,-0.0017845631,0.011210054,-0.0020242915,0.0026751873,0.0019706434,0.99999243
-0.004181545,-0.0017943382,0.01117152,-0.0018537603,0.002254929,0.0015921929,0.99999446
-0.0042176656,-0.001788497,0.011138916,-0.0017792566,0.0022405502,0.0010400322,0.99999535
-0.004240781,-0.0017906427,0.011116207,-0.0018810782,0.0021927685,0.0010348526,0.9999953
-0.004254736,-0.0017850399,0.011092216,-0.001770889,0.00209976,0.00096140156,0.99999577
-0.0042792447,-0.0017797947,0.011071414,-0.0017108425,0.0021576057,0.0007422175,0.99999595
-0.00429257,-0.0017870665,0.011050105,-0.0018959872,0.0020860604,0.00068941625,0.99999577
-0.0043066964,-0.00179708,0.011027187,-0.0019031952,0.002116512,0.000537688,0.99999577
-0.0043186583,-0.0018043518,0.011002481,-0.001857493,0.002072655,0.00023733312,0.99999607
-0.0043357536,-0.0018153191,0.010972261,-0.001997689,0.0021271072,0.00022154373,0.9999957
-0.004350923,-0.001822114,0.010950267,-0.0018532505,0.0020917633,8.259012e-05,0.99999607
-0.004364256,-0.0018234253,0.010925084,-0.0019689582,0.0020095608,-2.9981942e-05,0.99999607
-0.0043751374,-0.0018340349,0.010897249,-0.0020258056,0.001965933,1.1585977e-05,0.999996
-0.0043864064,-0.0018345118,0.010869294,-0.0021552632,0.0019948394,0.00011766295,0.99999565
-0.004404545,-0.001839757,0.010840267,-0.0021616376,0.0020273244,5.657462e-05,0.9999956
-0.0044142753,-0.0018527508,0.010816187,-0.002392987,0.0020026283,0.00027105186,0.99999505
-0.0044293366,-0.0018671751,0.010799825,-0.0025076303,0.0019712946,0.00040203964,0.9999948
-0.004446797,-0.0018746853,0.010774463,-0.0025110722,0.001973297,0.0004646746,0.9999948
-0.0044689737,-0.0018721819,0.010750115,-0.002561422,0.0019459347,0.00065836404,0.9999946
-0.0044785403,-0.0018783808,0.010735542,-0.0025753442,0.0017940289,0.0005691027,0.99999493
-0.0044894554,-0.0018941164,0.0107088685,-0.0027149988,0.0018571859,0.00066738063,0.99999434
-0.004502617,-0.0019016266,0.010688722,-0.0028398514,0.0018838046,0.00085232075,0.9999938
-0.004515324,-0.001904726,0.010684013,-0.003032842,0.001886015,0.001080911,0.999993
-0.004526254,-0.0019133091,0.010666549,-0.0031211947,0.0019005135,0.00093719905,0.99999285
-0.004534345,-0.0019205809,0.010651618,-0.0029273785,0.0018905072,0.0007940815,0.9999936
-0.0045377463,-0.0019286871,0.010631561,-0.0029634899,0.001957063,0.001019328,0.99999315
-0.004544042,-0.0019363165,0.010622442,-0.0029986296,0.0020365447,0.0010227851,0.9999929
-0.0045579225,-0.0019336939,0.010609001,-0.0031293535,0.0019181635,0.0010936293,0.99999267
-0.0045600645,-0.001942277,0.010592908,-0.003205579,0.0019577516,0.0011785667,0.99999225
-0.004570037,-0.0019476414,0.010586053,-0.0030966634,0.0019249623,0.0011206216,0.9999927
-0.004577186,-0.001957059,0.010570079,-0.0031434102,0.0019144467,0.0011716052,0.99999255
-0.0045823418,-0.0019544363,0.010554165,-0.0032391383,0.0018898066,0.0014970964,0.99999183
-0.004591655,-0.0019768476,0.010537237,-0.003289727,0.0019613765,0.0014240372,0.99999166
-0.0045955405,-0.0019803047,0.010526955,-0.0031880569,0.0019238382,0.0013182147,0.9999922
-0.0046025924,-0.001980424,0.010517716,-0.0034024369,0.0019431765,0.0014734739,0.99999124
-0.004604932,-0.002001524,0.010500729,-0.003310545,0.0018389199,0.0014938314,0.9999917
-0.0046143048,-0.0019973516,0.010487765,-0.003391837,0.0018709041,0.0016372888,0.9999912
-0.0046160407,-0.002013564,0.010474086,-0.0032595324,0.0018296031,0.0015456375,0.9999918
-0.004614353,-0.0020247698,0.01046434,-0.0033300745,0.0018577998,0.0015590457,0.99999154
